start_date_yyyymmdd,start_station_name,start_station_id,end_date_yyyymmdd,end_station_name,end_station_id,duration
2014-07-13,Powell at Post (Union Square),71,2014-07-13,Embarcadero at Bryant,54,667
2014-07-13,Market at 4th,76,2014-07-13,Market at 10th,67,401
2014-07-13,Market at 4th,76,2014-07-13,Market at 10th,67,401
2014-07-13,Grant Avenue at Columbus Avenue,73,2014-07-13,Powell at Post (Union Square),71,470
2014-07-13,Harry Bridges Plaza (Ferry Building),50,2014-07-13,Howard at 2nd,63,421
2014-07-13,San Jose Diridon Caltrain Station,2,2014-07-13,Santa Clara at Almaden,4,221
2014-07-13,2nd at Townsend,61,2014-07-13,Embarcadero at Bryant,54,233
2014-07-13,Mechanics Plaza (Market at Battery),75,2014-07-13,5th at Howard,57,455
2014-07-13,Mountain View Caltrain Station,28,2014-07-13,Castro Street and El Camino Real,32,559
2014-07-13,Powell at Post (Union Square),71,2014-07-13,Powell Street BART,39,1386
2014-07-13,Embarcadero at Sansome,60,2014-07-13,Washington at Kearny,46,602
2014-07-13,Embarcadero at Sansome,60,2014-07-13,Washington at Kearny,46,608
2014-07-13,San Francisco Caltrain 2 (330 Townsend),69,2014-07-13,Civic Center BART (7th at Market),72,597
2014-07-13,Embarcadero at Sansome,60,2014-07-13,Washington at Kearny,46,585
2014-07-13,Embarcadero at Sansome,60,2014-07-13,Washington at Kearny,46,604
2014-07-13,Embarcadero at Sansome,60,2014-07-13,Washington at Kearny,46,590
2014-07-13,San Francisco Caltrain (Townsend at 4th),70,2014-07-13,Embarcadero at Folsom,51,643
2014-07-13,South Van Ness at Market,66,2014-07-13,Spear at Folsom,49,876
2014-07-13,Embarcadero at Sansome,60,2014-07-13,Mechanics Plaza (Market at Battery),75,719
2014-07-13,Embarcadero at Sansome,60,2014-07-13,San Francisco Caltrain (Townsend at 4th),70,978
2014-07-13,San Jose Diridon Caltrain Station,2,2014-07-13,St James Park,13,439
2014-07-13,Yerba Buena Center of the Arts (3rd @ Howard),68,2014-07-13,Harry Bridges Plaza (Ferry Building),50,836
2014-07-13,Market at Sansome,77,2014-07-13,Market at 10th,67,631
2014-07-13,Embarcadero at Vallejo,48,2014-07-13,Embarcadero at Sansome,60,3196
2014-07-13,Embarcadero at Vallejo,48,2014-07-13,Embarcadero at Sansome,60,3212
