start_date_yyyymmdd,start_station_name,start_station_id,end_date_yyyymmdd,end_station_name,end_station_id,duration
2015-07-12,Howard at 2nd,63,2015-07-12,Market at Sansome,77,121
2015-07-12,Temporary Transbay Terminal (Howard at Beale),55,2015-07-12,Powell Street BART,39,444
2015-07-12,San Jose City Hall,10,2015-07-12,SJSU - San Salvador at 9th,16,444
2015-07-12,Clay at Battery,41,2015-07-12,Washington at Kearny,46,166
2015-07-12,Market at Sansome,77,2015-07-12,Grant Avenue at Columbus Avenue,73,624
2015-07-12,Davis at Jackson,42,2015-07-12,Spear at Folsom,49,363
2015-07-12,SJSU - San Salvador at 9th,16,2015-07-12,San Jose City Hall,10,570
2015-07-12,SJSU - San Salvador at 9th,16,2015-07-12,SJSU - San Salvador at 9th,16,82
2015-07-12,Market at 4th,76,2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,402
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Beale at Market,56,5868
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Powell Street BART,39,699
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,San Francisco Caltrain (Townsend at 4th),70,601
2015-07-12,Steuart at Market,74,2015-07-12,Embarcadero at Folsom,51,222
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,Davis at Jackson,42,1044
2015-07-12,Howard at 2nd,63,2015-07-12,Powell Street BART,39,2216
2015-07-12,Howard at 2nd,63,2015-07-12,Powell Street BART,39,2256
2015-07-12,South Van Ness at Market,66,2015-07-12,5th at Howard,57,456
2015-07-12,Evelyn Park and Ride,30,2015-07-12,Mountain View Caltrain Station,28,233
2015-07-12,Steuart at Market,74,2015-07-12,Yerba Buena Center of the Arts (3rd @ Howard),68,650
2015-07-12,Steuart at Market,74,2015-07-12,Yerba Buena Center of the Arts (3rd @ Howard),68,626
2015-07-12,Howard at 2nd,63,2015-07-12,5th at Howard,57,199
2015-07-12,University and Emerson,35,2015-07-12,California Ave Caltrain Station,36,593
2015-07-12,Embarcadero at Bryant,54,2015-07-12,Harry Bridges Plaza (Ferry Building),50,712
2015-07-12,Embarcadero at Bryant,54,2015-07-12,Powell Street BART,39,931
2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,2015-07-12,Harry Bridges Plaza (Ferry Building),50,808
2015-07-12,Powell at Post (Union Square),71,2015-07-12,Post at Kearny,47,1605
2015-07-12,Paseo de San Antonio,7,2015-07-12,San Salvador at 1st,8,148
2015-07-12,South Van Ness at Market,66,2015-07-12,Civic Center BART (7th at Market),72,242
2015-07-12,Howard at 2nd,63,2015-07-12,Embarcadero at Sansome,60,791
2015-07-12,San Jose Diridon Caltrain Station,2,2015-07-12,Paseo de San Antonio,7,463
2015-07-12,Embarcadero at Sansome,60,2015-07-12,San Francisco Caltrain (Townsend at 4th),70,897
2015-07-12,Embarcadero at Sansome,60,2015-07-12,San Francisco Caltrain (Townsend at 4th),70,919
2015-07-12,Embarcadero at Bryant,54,2015-07-12,Embarcadero at Bryant,54,684
2015-07-12,Embarcadero at Bryant,54,2015-07-12,Embarcadero at Bryant,54,667
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Howard at 2nd,63,573
2015-07-12,Washington at Kearny,46,2015-07-12,Washington at Kearny,46,9410
2015-07-12,Market at 10th,67,2015-07-12,San Francisco Caltrain (Townsend at 4th),70,646
2015-07-12,Golden Gate at Polk,59,2015-07-12,Post at Kearny,47,814
2015-07-12,2nd at South Park,64,2015-07-12,Grant Avenue at Columbus Avenue,73,5655
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Market at Sansome,77,2075
2015-07-12,San Salvador at 1st,8,2015-07-12,Paseo de San Antonio,7,343
2015-07-12,2nd at South Park,64,2015-07-12,Grant Avenue at Columbus Avenue,73,5867
2015-07-12,Powell Street BART,39,2015-07-12,Powell at Post (Union Square),71,740
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Embarcadero at Bryant,54,323
2015-07-12,San Jose Diridon Caltrain Station,2,2015-07-12,SJSU - San Salvador at 9th,16,748
2015-07-12,Steuart at Market,74,2015-07-12,Post at Kearny,47,404
2015-07-12,Steuart at Market,74,2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,562
2015-07-12,Market at 4th,76,2015-07-12,Golden Gate at Polk,59,411
2015-07-12,Spear at Folsom,49,2015-07-12,Davis at Jackson,42,306
2015-07-12,Market at 4th,76,2015-07-12,Harry Bridges Plaza (Ferry Building),50,432
2015-07-12,Market at 10th,67,2015-07-12,Grant Avenue at Columbus Avenue,73,1254
2015-07-12,2nd at South Park,64,2015-07-12,Embarcadero at Sansome,60,2889
2015-07-12,Powell Street BART,39,2015-07-12,San Francisco Caltrain 2 (330 Townsend),69,614
2015-07-12,Powell Street BART,39,2015-07-12,Market at 4th,76,150
2015-07-12,Market at 4th,76,2015-07-12,Embarcadero at Sansome,60,1826
2015-07-12,2nd at Townsend,61,2015-07-12,Powell at Post (Union Square),71,1248
2015-07-12,San Jose City Hall,10,2015-07-12,Adobe on Almaden,5,697
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Embarcadero at Sansome,60,69
2015-07-12,Market at Sansome,77,2015-07-12,South Van Ness at Market,66,880
2015-07-12,2nd at South Park,64,2015-07-12,2nd at Townsend,61,537
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Market at Sansome,77,442
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,Townsend at 7th,65,194
2015-07-12,San Francisco Caltrain (Townsend at 4th),70,2015-07-12,Townsend at 7th,65,218
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Steuart at Market,74,691
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Embarcadero at Sansome,60,349
2015-07-12,California Ave Caltrain Station,36,2015-07-12,San Antonio Shopping Center,31,1328
2015-07-12,Embarcadero at Sansome,60,2015-07-12,South Van Ness at Market,66,1372
2015-07-12,Steuart at Market,74,2015-07-12,Post at Kearny,47,569
2015-07-12,2nd at Townsend,61,2015-07-12,Harry Bridges Plaza (Ferry Building),50,812
2015-07-12,SJSU 4th at San Carlos,12,2015-07-12,Santa Clara at Almaden,4,392
2015-07-12,San Jose City Hall,10,2015-07-12,SJSU - San Salvador at 9th,16,620
2015-07-12,Grant Avenue at Columbus Avenue,73,2015-07-12,Temporary Transbay Terminal (Howard at Beale),55,589
2015-07-12,Powell at Post (Union Square),71,2015-07-12,Powell Street BART,39,1002
2015-07-12,University and Emerson,35,2015-07-12,California Ave Caltrain Station,36,841
2015-07-12,Cowper at University,37,2015-07-12,Palo Alto Caltrain Station,34,331
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Howard at 2nd,63,1174
2015-07-12,Civic Center BART (7th at Market),72,2015-07-12,Howard at 2nd,63,1251
2015-07-12,Broadway St at Battery St,82,2015-07-12,Townsend at 7th,65,1069
2015-07-12,Embarcadero at Sansome,60,2015-07-12,Market at 4th,76,1238
2015-07-12,2nd at Folsom,62,2015-07-12,Market at 4th,76,408
2015-07-12,Harry Bridges Plaza (Ferry Building),50,2015-07-12,Harry Bridges Plaza (Ferry Building),50,14300
2015-07-12,Japantown,9,2015-07-12,San Jose Civic Center,3,793
2015-07-12,Japantown,9,2015-07-12,San Jose Civic Center,3,799
