"orig","dest","vol"
"RoW","YBR",2002
"RoW","YTH",18
"RoW","YWG",157323
"RoW","YYQ",1474
"XLB","RoW",766
"XLB","XTL",114
"XLB","YTH",650
"XSI","RoW",401
"XSI","YTH",399
"XTL","RoW",758
"XTL","XLB",174
"XTL","YTH",565
"YBR","RoW",2582
"YBR","YDN",292
"YBR","YWG",288
"YBT","RoW",447
"YBT","YTH",451
"YBV","RoW",694
"YBV","YWG",713
"YCR","RoW",1050
"YCR","YNE",682
"YCR","YWG",372
"YDN","RoW",652
"YDN","YBR",288
"YDN","YWG",383
"YFO","RoW",3157
"YFO","YQD",854
"YFO","YTH",582
"YFO","YWG",1857
"YGO","RoW",2924
"YGO","YOH",1036
"YGO","YTH",242
"YGO","YWG",1485
"YGO","ZGI",176
"YGX","RoW",2877
"YGX","YTH",1242
"YGX","YWG",1638
"YIV","RoW",3365
"YIV","YRS",529
"YIV","YWG",2899
"YNE","RoW",1394
"YNE","YCR",684
"YNE","YWG",701
"YOH","RoW",3037
"YOH","YGO",1342
"YOH","YTH",1543
"YOH","YWG",98
"YOH","ZGI",48
"YQD","RoW",2910
"YQD","YFO",1279
"YQD","YTH",369
"YQD","YWG",1349
"YRS","RoW",1464
"YRS","YIV",343
"YRS","YWG",780
"YRS","ZGI",288
"YRS","ZTM",50
"YST","RoW",3355
"YST","YIV",848
"YST","YWG",2518
"YTH","RoW",11464
"YTH","XLB",592
"YTH","XSI",401
"YTH","XTL",644
"YTH","YBT",447
"YTH","YFO",567
"YTH","YGO",309
"YTH","YGX",1607
"YTH","YOH",1565
"YTH","YQD",364
"YTH","YWG",4246
"YTH","YYQ",278
"YTH","ZAC",337
"YTH","ZGI",208
"YTH","ZTM",449
"YWG","RoW",183256
"YWG","YBR",292
"YWG","YBV",696
"YWG","YCR",366
"YWG","YDN",368
"YWG","YFO",1462
"YWG","YGO",1172
"YWG","YGX",1270
"YWG","YIV",2230
"YWG","YNE",714
"YWG","YOH",406
"YWG","YQD",1750
"YWG","YRS",806
"YWG","YST",3355
"YWG","YTH",4571
"YWG","YYQ",5789
"YWG","ZGI",462
"YWG","ZTM",212
"YYQ","RoW",7430
"YYQ","YTH",276
"YYQ","YWG",5770
"ZAC","RoW",337
"ZAC","YTH",344
"ZGI","RoW",1167
"ZGI","YGO",116
"ZGI","YOH",48
"ZGI","YRS",99
"ZGI","YTH",279
"ZGI","YWG",652
"ZTM","RoW",702
"ZTM","YRS",47
"ZTM","YTH",451
"ZTM","YWG",208
